rank,article_id,clicks
157,N14780,265
158,N26025,264
159,N12493,261
160,N61185,261
161,N33677,259
162,N4936,258
163,N5652,257
164,N32641,255
165,N19318,255
166,N4510,254
167,N57097,253
168,N16439,253
169,N16844,251
170,N57005,250
171,N45266,250
172,N35738,249
173,N6890,248
174,N16148,247
175,N27560,247
176,N43519,246
177,N13579,246
178,N35389,245
179,N61408,245
180,N14726,245
181,N47412,245
182,N22339,244
183,N53470,244
184,N19444,240
185,N20576,240
186,N35047,240
187,N57754,239
188,N24109,238
189,N23184,237
190,N48705,237
191,N36752,235
192,N57957,234
193,N39342,234
194,N43083,232
195,N47817,230
196,N63538,230
197,N22880,230
198,N28072,228
199,N22457,228
200,N52723,228
201,N64916,225
202,N36186,225
203,N36545,223
204,N56227,223
205,N57402,222
206,N154,222
207,N4913,218
208,N47748,218
209,N64734,216
210,N46607,214
211,N25764,214
212,N50415,213
213,N59272,213
214,N33828,212
215,N48487,212
216,N40725,211
217,N42515,211
218,N12523,211
219,N6975,211
220,N8373,210
221,N8957,209
222,N35233,208
223,N42670,208
224,N32791,208
225,N55582,206
226,N62729,206
227,N27737,206
228,N51398,204
229,N41172,204
230,N58660,204
231,N36659,204
232,N53084,202
233,N24423,202
234,N10812,201
235,N57426,201
236,N16209,199
237,N44698,199
238,N453,199
239,N31448,199
240,N50060,199
241,N1644,196
242,N46526,195
243,N38159,194
244,N64513,194
245,N48077,194
246,N62688,194
247,N28213,192
248,N36261,191
249,N7328,189
250,N29341,188
251,N59267,187
252,N35172,187
253,N41122,186
254,N46917,185
255,N15315,184
256,N5370,184
257,N3894,180
258,N35937,180
259,N42961,179
260,N43748,179
261,N12028,178
262,N54482,177
263,N34869,177
264,N32691,176
265,N732,176
266,N58114,175
267,N33632,175
268,N12589,174
269,N1914,174
270,N20746,172
271,N65185,172
272,N25165,172
273,N13259,171
274,N61623,170
275,N62920,170
276,N47572,169
277,N23547,169
278,N33576,168
279,N4404,167
280,N350,167
281,N26376,167
282,N23942,167
283,N3491,165
284,N24111,165
285,N41717,164
286,N496,164
287,N9720,163
288,N34048,163
289,N61027,163
290,N9623,162
291,N25791,162
292,N18613,161
293,N29739,161
294,N38695,161
295,N41578,159
296,N47578,159
297,N2823,158
298,N53318,158
299,N42028,158
300,N14523,157
301,N43309,157
302,N46279,157
303,N45270,157
304,N57327,156
305,N31273,155
306,N1940,155
307,N3128,155
308,N38442,155
309,N4985,154
310,N62386,154
311,N48063,153
312,N44651,153
313,N37437,152
314,N45551,152
315,N56243,152
316,N59685,152
317,N11551,151
318,N37394,150
319,N30088,150
320,N39765,148
321,N47229,148
322,N64095,148
323,N20676,147
324,N25064,146
325,N23081,146
326,N21342,145
327,N64152,143
328,N45428,141
329,N36221,141
330,N63656,141
331,N58264,141
332,N23548,141
333,N47981,140
334,N30290,140
335,N60872,140
336,N17117,140
337,N21519,140
338,N52000,139
339,N9284,139
340,N20915,139
341,N61740,139
342,N6390,138
343,N34520,138
344,N56711,138
345,N46029,137
346,N1228,137
347,N29468,137
348,N63106,137
349,N20041,136
350,N22257,136
351,N8084,136
352,N19542,134
353,N38998,134
354,N33831,134
355,N57614,133
356,N41612,133
357,N24686,133
358,N42346,133
359,N62049,133
360,N18887,133
361,N4247,133
362,N43492,133
363,N16328,133
364,N6066,133
365,N57090,133
366,N51853,132
367,N48046,132
368,N57081,131
369,N26227,130
370,N13423,130
371,N16804,128
372,N33261,128
373,N59385,127
374,N23805,126
375,N36436,126
376,N33755,126
377,N50469,126
378,N5957,126
379,N25138,125
380,N26286,125
381,N60750,125
382,N59252,124
383,N64305,124
384,N38138,124
385,N35767,124
386,N56396,124
387,N47035,123
388,N11363,123
389,N39471,123
390,N61145,123
391,N30108,123
392,N18312,122
393,N46751,122
394,N9349,122
395,N62894,122
396,N64094,122
397,N8061,121
398,N64252,120
399,N38783,120
400,N24180,119
401,N25949,119
402,N1019,119
403,N33630,119
404,N20811,119
405,N57651,119
406,N29340,119
407,N55186,119
408,N46992,118
409,N12608,118
410,N12731,118
411,N28188,117
412,N45660,117
413,N13981,117
414,N64542,117
415,N55714,117
416,N21077,117
417,N55940,116
418,N43595,116
419,N56598,116
420,N43073,115
421,N51954,115
422,N41222,115
423,N26673,115
424,N32567,114
425,N10272,114
426,N40300,114
427,N17031,114
428,N60374,113
429,N54125,113
430,N15269,113
431,N6099,113
432,N63583,113
433,N32010,113
434,N27079,113
435,N28047,112
436,N51187,112
437,N48473,111
438,N24157,111
439,N15279,110
440,N26331,109
441,N28523,109
442,N38697,109
443,N38309,108
444,N41757,108
445,N34998,108
446,N57132,108
447,N43432,108
448,N27789,108
449,N15719,107
450,N20954,107
451,N41224,106
452,N37377,106
453,N52294,106
454,N27961,105
455,N36660,105
456,N4754,105
457,N61404,105
458,N61787,105
459,N9475,105
460,N61483,105
461,N33240,105
462,N21701,104
463,N22975,104
464,N55606,104
465,N45016,104
466,N279,104
467,N6693,103
468,N61571,103
469,N7494,103
470,N21712,102
471,N50688,102
472,N37009,102
473,N62395,101
474,N25546,101
475,N36624,101
476,N17586,101
477,N9047,101
478,N61463,101
479,N28046,101
480,N35305,100
481,N12579,100
482,N25295,99
483,N25624,99
484,N49491,99
485,N5980,99
486,N9473,98
487,N50389,98
488,N55132,98
489,N51006,97
490,N4912,97
491,N37019,97
492,N3930,97
493,N18378,96
494,N6342,96
495,N43789,96
496,N52409,96
497,N47006,96
498,N36850,96
499,N20729,96
500,N17087,96
501,N39978,96
502,N44516,95
503,N8559,95
504,N48578,95
505,N29001,94
506,N24509,94
507,N25471,94
508,N42597,94
509,N58410,93
510,N21882,93
511,N8191,93
512,N35273,93
513,N38869,92
514,N47717,92
515,N4663,92
516,N6379,92
517,N13369,92
518,N58003,92
519,N36003,92
520,N706,92
521,N48958,92
522,N28983,91
523,N32144,91
524,N28413,91
525,N63786,91
526,N25605,91
527,N51285,90
528,N166,90
529,N54666,90
530,N12168,90
531,N6658,90
532,N58345,90
533,N64482,89
534,N16166,89
535,N51346,89
536,N39187,89
537,N7419,89
538,N3031,88
539,N55631,88
540,N25722,88
541,N1180,88
542,N18529,88
543,N18151,87
544,N54988,87
545,N45375,87
546,N12800,87
547,N10688,87
548,N48890,87
549,N30135,87
550,N45389,86
551,N58499,86
552,N54274,86
553,N24207,86
554,N36612,86
555,N27289,86
556,N17340,86
557,N19911,86
558,N61214,85
559,N11768,85
560,N50329,85
561,N57032,85
562,N57818,85
563,N15435,85
564,N17307,85
565,N55645,84
566,N45704,84
567,N49487,84
568,N60932,84
569,N62070,84
570,N30188,83
571,N50314,83
572,N15224,83
573,N53907,83
574,N37533,83
575,N9135,83
576,N25444,82
577,N50484,82
578,N3285,82
579,N40495,82
580,N38404,81
581,N64968,81
582,N61359,80
583,N45076,80
584,N9139,80
585,N36621,80
586,N46878,80
587,N20824,80
588,N40071,80
589,N48019,79
590,N16342,79
591,N22407,79
592,N17115,79
593,N33,79
594,N12446,79
595,N926,78
596,N35393,78
597,N48920,78
598,N53054,78
599,N61811,78
600,N25867,78
601,N37753,78
602,N22816,78
603,N28132,78
604,N64543,78
605,N18406,78
606,N12377,77
607,N61032,77
608,N57604,77
609,N16463,77
610,N23429,76
611,N54300,76
612,N20134,76
613,N29735,76
614,N55555,76
615,N27437,76
616,N38490,76
617,N11769,76
618,N21656,76
619,N26649,75
620,N61822,75
621,N2,75
622,N58553,75
623,N45734,75
624,N51553,75
625,N27932,75
626,N3517,75
627,N8687,74
628,N54752,74
629,N14440,74
630,N3821,74
631,N34724,73
632,N35854,73
633,N21297,73
634,N44324,73
635,N16777,73
636,N41380,73
637,N62366,73
638,N59142,72
639,N46821,72
640,N36638,72
641,N53886,72
642,N19050,72
643,N14170,72
644,N1680,72
645,N22320,72
646,N31504,72
647,N36681,71
648,N5075,71
649,N41354,71
650,N5048,71
651,N26795,71
652,N36016,71
653,N53848,70
654,N10121,70
655,N31556,70
656,N46258,70
657,N21479,70
658,N35847,70
659,N59887,70
660,N29490,70
661,N43869,70
662,N37994,70
663,N25467,69
664,N44249,69
665,N32387,69
666,N43386,69
667,N9009,69
668,N42698,69
669,N23784,69
670,N57713,69
671,N62391,69
672,N64745,69
673,N20043,68
674,N18103,68
675,N37781,68
676,N13580,68
677,N45561,68
678,N26721,68
679,N5688,68
680,N47267,68
681,N21128,68
682,N65027,68
683,N12424,68
684,N38263,67
685,N50138,67
686,N61320,67
687,N49956,67
688,N5364,67
689,N43487,67
690,N61962,67
691,N11869,67
692,N44399,67
693,N45590,67
694,N59713,67
695,N29839,67
696,N14408,66
697,N52471,66
698,N53615,66
699,N59088,66
700,N31289,66
701,N15160,66
702,N28899,66
703,N52424,66
704,N41569,65
705,N47067,65
706,N10551,65
707,N962,65
708,N50592,65
709,N21036,64
710,N62762,64
711,N42922,64
712,N34668,64
713,N25414,64
714,N20527,64
715,N2960,64
716,N22408,64
717,N41165,63
718,N6857,63
719,N34600,63
720,N47149,63
721,N36351,63
722,N57733,63
723,N51489,63
724,N12492,63
725,N42803,63
726,N2169,62
727,N50302,62
728,N30920,62
729,N32015,62
730,N52773,62
731,N41285,62
732,N17231,62
733,N43415,62
734,N288,62
735,N22825,62
736,N52180,62
737,N15761,61
738,N17252,61
739,N4485,61
740,N17130,61
741,N31050,61
742,N35671,61
743,N40171,61
744,N49194,61
745,N58848,61
746,N32097,61
747,N51330,61
748,N37338,61
749,N31893,61
750,N9271,61
751,N31406,61
752,N17072,60
753,N23085,60
754,N51478,60
755,N10754,60
756,N8855,60
757,N40380,60
758,N23174,60
759,N11940,60
760,N34110,60
761,N646,59
762,N43460,59
763,N31679,59
764,N56517,59
765,N44146,59
766,N46845,59
767,N19092,59
768,N3697,59
769,N57368,59
770,N55743,59
771,N16915,59
772,N61950,59
773,N30035,58
774,N57385,58
775,N63646,58
776,N36086,58
777,N28767,58
778,N29801,58
779,N29854,58
780,N26130,58
781,N25212,58
782,N45366,58
783,N20076,58
784,N46477,58
785,N52433,58
786,N16118,58
787,N30619,58
788,N62093,58
789,N6953,58
790,N12627,58
791,N25163,57
792,N63958,57
793,N51975,57
794,N21428,57
795,N3167,57
796,N58572,57
797,N10840,57
798,N16419,57
799,N61595,57
800,N61742,57
801,N28862,57
802,N23563,57
803,N55411,57
804,N7754,56
805,N1951,56
806,N48064,56
807,N50791,56
808,N34956,56
809,N40468,56
810,N63796,56
811,N23162,56
812,N10746,56
813,N57716,56
814,N51634,56
815,N7891,56
816,N36689,56
817,N4156,56
818,N54232,55
819,N36786,55
820,N18423,55
821,N31395,55
822,N22061,55
823,N47346,55
824,N64632,55
825,N35094,55
826,N36931,55
827,N58569,55
828,N29822,54
829,N45550,54
830,N36933,54
831,N23760,54
832,N37673,54
833,N9215,54
834,N59407,54
835,N41979,54
836,N3179,54
837,N28735,54
838,N19903,54
839,N55913,54
840,N47889,54
841,N4854,54
842,N21915,53
843,N44737,53
844,N37190,53
845,N42397,53
846,N9163,53
847,N49483,53
848,N56355,53
849,N8907,53
850,N53696,53
851,N64184,52
852,N6458,52
853,N47942,52
854,N33005,52
855,N60858,52
856,N45742,52
857,N33848,52
858,N37870,52
859,N51195,52
860,N53515,52
861,N7840,52
862,N53587,52
863,N63174,52
864,N3589,51
865,N64009,51
866,N58051,51
867,N61760,51
868,N43370,51
869,N8242,51
870,N12850,51
871,N51970,51
872,N18403,51
873,N49200,51
874,N46586,51
875,N17069,50
876,N22230,50
877,N34400,50
878,N55207,50
879,N36348,50
880,N39015,50
881,N61006,50
882,N13094,50
883,N20428,50
884,N30295,50
885,N28203,50
886,N43266,49
887,N7670,49
888,N45422,49
889,N24301,49
890,N39531,49
891,N37199,49
892,N32846,49
893,N32519,49
894,N40318,49
895,N65118,49
896,N26415,49
897,N59469,49
898,N21753,49
899,N1289,49
900,N4428,49
901,N62750,49
902,N7431,49
903,N38949,49
904,N8400,48
905,N3415,48
906,N38662,48
907,N36703,48
908,N12325,48
909,N39461,48
910,N14520,48
911,N7927,48
912,N18978,48
913,N58301,48
914,N57527,48
915,N50601,48
916,N57459,48
917,N57844,48
918,N55275,48
919,N5497,48
920,N10116,47
921,N29218,47
922,N28918,47
923,N58054,47
924,N1604,47
925,N3506,47
926,N23089,47
927,N51506,47
928,N21484,47
929,N34451,47
930,N55488,47
931,N37497,47
932,N3541,47
933,N23129,47
934,N45173,47
935,N17195,46
936,N29964,46
937,N349,46
938,N23864,46
939,N32890,46
940,N39267,46
941,N40438,46
942,N9158,46
943,N46283,46
944,N20178,46
945,N36288,46
946,N27583,46
947,N9719,46
948,N60585,46
949,N1952,46
950,N45211,46
951,N17357,46
952,N39949,46
953,N27198,46
954,N41842,46
955,N29952,45
956,N38315,45
957,N20486,45
958,N30814,45
959,N9457,45
960,N52662,45
961,N38311,45
962,N28934,45
963,N3339,45
964,N48416,45
965,N57014,45
966,N52554,45
967,N60606,45
968,N20270,45
969,N62570,45
970,N5288,45
971,N58814,45
972,N45442,44
973,N6916,44
974,N2869,44
975,N5889,44
976,N17140,44
977,N50014,44
978,N58549,44
979,N53899,44
980,N13816,44
981,N30454,44
982,N55281,44
983,N2578,44
984,N14285,44
985,N61296,44
986,N17104,44
987,N25088,43
988,N47245,43
989,N12995,43
990,N36424,43
991,N4107,43
992,N28382,43
993,N12392,43
994,N13730,43
995,N42965,43
996,N11138,43
997,N54348,43
998,N4034,43
999,N37384,43
1000,N10350,43
1001,N3380,43
1002,N12839,43
1003,N261,43
1004,N52585,42
1005,N32589,42
1006,N45317,42
1007,N62212,42
1008,N103,42
1009,N53245,42
1010,N10386,42
1011,N366,42
1012,N6767,42
1013,N22221,42
1014,N55346,42
1015,N49123,42
1016,N43368,42
1017,N15803,42
1018,N2046,42
1019,N27143,42
1020,N27869,42
1021,N58155,41
1022,N1555,41
1023,N48015,41
1024,N34579,41
1025,N48613,41
1026,N59138,41
1027,N35272,41
1028,N35486,41
1029,N7462,41
1030,N28578,41
1031,N51763,41
1032,N25587,41
1033,N11821,41
1034,N34081,41
1035,N15830,41
1036,N24376,41
1037,N21619,41
1038,N47231,41
1039,N14522,41
1040,N28403,40
1041,N44818,40
1042,N37905,40
1043,N11681,40
1044,N6664,40
1045,N51552,40
1046,N53861,40
1047,N29715,40
1048,N12761,40
1049,N25966,40
1050,N29254,40
1051,N5146,40
1052,N47401,40
1053,N35776,40
1054,N63060,40
1055,N32854,40
1056,N64787,40
1057,N15043,40
1058,N29107,39
1059,N8595,39
1060,N47151,39
1061,N51275,39
1062,N13974,39
1063,N28788,39
1064,N16120,39
1065,N5791,39
1066,N42868,39
1067,N21925,39
1068,N6388,39
1069,N49157,39
1070,N50619,39
1071,N36675,39
1072,N46452,39
1073,N58813,39
1074,N15289,39
1075,N47570,39
1076,N16659,39
1077,N48707,39
1078,N16533,39
1079,N58710,38
1080,N23028,38
1081,N6772,38
1082,N6929,38
1083,N35293,38
1084,N13011,38
1085,N62992,38
1086,N43670,38
1087,N57226,38
1088,N44540,38
1089,N53031,38
1090,N1031,38
1091,N31370,38
1092,N20930,38
1093,N30648,38
1094,N19242,38
1095,N57809,38
1096,N1480,38
1097,N63342,38
1098,N8029,38
1099,N26091,37
1100,N1319,37
1101,N58075,37
1102,N4861,37
1103,N43143,37
1104,N19477,37
1105,N23535,37
1106,N50055,37
1107,N42614,37
1108,N60162,37
1109,N26952,37
1110,N51185,37
1111,N740,37
1112,N46736,37
1113,N61407,37
1114,N62358,37
1115,N41651,37
1116,N57962,37
1117,N12042,36
1118,N39683,36
1119,N50107,36
1120,N52535,36
1121,N1421,36
1122,N48875,36
1123,N5516,36
1124,N36837,36
1125,N34930,36
1126,N47576,36
1127,N52683,36
1128,N1105,36
1129,N44815,36
1130,N9734,36
1131,N9354,36
1132,N18573,36
1133,N29363,36
1134,N25953,36
1135,N28585,36
1136,N33203,36
1137,N38947,36
1138,N47602,36
1139,N16138,36
1140,N59653,36
1141,N3957,35
1142,N45554,35
1143,N11793,35
1144,N26607,35
1145,N12537,35
1146,N43202,35
1147,N60592,35
1148,N44397,35
1149,N54003,35
1150,N3243,35
1151,N48340,35
1152,N55050,35
1153,N38999,35
1154,N48663,35
1155,N19423,35
1156,N21351,35
1157,N51241,35
1158,N43001,35
1159,N1920,35
1160,N44123,35
1161,N17106,34
1162,N33123,34
1163,N15462,34
1164,N17389,34
1165,N54287,34
1166,N45616,34
1167,N31147,34
1168,N63685,34
1169,N37416,34
1170,N13486,34
1171,N40130,34
1172,N5827,34
1173,N55976,34
1174,N52502,34
1175,N28668,34
1176,N2952,34
1177,N26902,34
1178,N17965,34
1179,N22664,34
1180,N35622,34
1181,N29003,34
1182,N52752,34
1183,N50005,34
1184,N41774,34
1185,N46142,34
1186,N34580,33
1187,N36184,33
1188,N5695,33
1189,N6816,33
1190,N13005,33
1191,N41698,33
1192,N29840,33
1193,N4815,33
1194,N53343,33
1195,N32806,33
1196,N61608,33
1197,N41533,33
1198,N36712,33
1199,N28495,33
1200,N61023,33
1201,N6873,33
1202,N20281,33
1203,N31281,33
1204,N4148,33
1205,N12109,33
1206,N26084,33
1207,N1046,33
1208,N32058,33
1209,N17628,33
1210,N7092,33
1211,N25124,32
1212,N60445,32
1213,N17482,32
1214,N32031,32
1215,N22549,32
1216,N10913,32
1217,N48410,32
1218,N33425,32
1219,N36910,32
1220,N26081,32
1221,N3745,32
1222,N35131,32
1223,N15574,32
1224,N8260,32
1225,N58171,32
1226,N20319,32
1227,N49704,32
1228,N35387,32
1229,N11929,32
1230,N58271,32
1231,N2878,31
1232,N11087,31
1233,N13051,31
1234,N24607,31
1235,N7795,31
1236,N44786,31
1237,N52694,31
1238,N64138,31
1239,N30870,31
1240,N54161,31
1241,N30085,31
1242,N43992,31
1243,N11269,31
1244,N24759,31
1245,N11702,31
1246,N36964,31
1247,N45543,31
1248,N26579,31
1249,N18947,30
1250,N27638,30
1251,N33297,30
1252,N50575,30
1253,N42076,30
1254,N49879,30
1255,N17759,30
1256,N9340,30
1257,N60186,30
1258,N28324,30
1259,N57342,30
1260,N19019,30
1261,N42885,30
1262,N5737,30
1263,N14531,30
1264,N53237,30
1265,N44116,30
1266,N36273,30
1267,N56777,30
1268,N19241,30
1269,N48302,30
1270,N7850,29
1271,N27349,29
1272,N16380,29
1273,N6150,29
1274,N60799,29
1275,N8347,29
1276,N25437,29
1277,N20602,29
1278,N18823,29
1279,N6399,29
1280,N18522,29
1281,N5905,29
1282,N63390,29
1283,N7901,29
1284,N15807,29
1285,N30725,29
1286,N21840,29
1287,N57943,29
1288,N26278,29
1289,N64190,29
1290,N23254,28
1291,N10413,28
1292,N849,28
1293,N59977,28
1294,N37250,28
1295,N30473,28
1296,N11484,28
1297,N54381,28
1298,N56061,28
1299,N14809,28
1300,N48832,28
1301,N25623,28
1302,N305,28
1303,N13112,28
1304,N64273,28
1305,N28307,28
1306,N40559,28
1307,N4295,28
1308,N26159,28
1309,N52557,28
1310,N48476,28
1311,N8807,28
1312,N26514,28
1313,N50023,28
1314,N13575,28
1315,N16931,28
1316,N40905,28
1317,N48407,28
1318,N30089,27
1319,N18572,27
1320,N27245,27
1321,N19735,27
1322,N53431,27
1323,N16314,27
1324,N33159,27
1325,N58183,27
1326,N64397,27
1327,N4598,27
1328,N27826,27
1329,N13341,27
1330,N40973,27
1331,N23767,27
1332,N23816,27
1333,N32204,27
1334,N32866,27
1335,N7112,27
1336,N13967,27
1337,N39774,27
1338,N25160,27
1339,N39073,27
1340,N3161,27
1341,N3087,27
1342,N47453,27
1343,N35576,27
1344,N51764,27
1345,N44299,27
1346,N36599,27
1347,N28385,27
1348,N26940,27
1349,N53901,27
1350,N5379,27
1351,N32798,27
1352,N39758,27
1353,N11899,27
1354,N47380,26
1355,N51587,26
1356,N55867,26
1357,N3449,26
1358,N65202,26
1359,N39663,26
1360,N55322,26
1361,N35062,26
1362,N37793,26
1363,N13165,26
1364,N28279,26
1365,N27515,26
1366,N38294,26
1367,N46370,26
1368,N16725,26
1369,N50058,26
1370,N40356,26
1371,N18884,26
1372,N44290,26
1373,N26639,26
1374,N26626,26
1375,N999,26
1376,N45456,26
1377,N38333,26
1378,N25639,26
1379,N3431,26
1380,N57227,26
1381,N46004,26
1382,N33361,26
1383,N39028,26
1384,N11511,26
1385,N23189,26
1386,N30215,26
1387,N9104,26
1388,N8913,26
1389,N29065,26
1390,N17571,26
1391,N35336,26
1392,N41992,26
1393,N6471,26
1394,N59186,26
1395,N43500,25
1396,N33872,25
1397,N38797,25
1398,N13131,25
1399,N22353,25
1400,N27497,25
1401,N59436,25
1402,N44679,25
1403,N42266,25
1404,N40539,25
1405,N25324,25
1406,N46810,25
1407,N17865,25
1408,N5981,25
1409,N15307,25
1410,N209,25
1411,N30071,25
1412,N37480,25
1413,N61389,25
1414,N48684,25
1415,N3726,25
1416,N32211,25
1417,N20018,25
1418,N28204,25
1419,N63835,25
1420,N19647,25
1421,N49908,25
1422,N46466,25
1423,N64153,25
1424,N16809,25
1425,N35737,25
1426,N41581,25
1427,N44616,25
1428,N33533,25
1429,N22029,25
1430,N57403,25
1431,N195,25
1432,N10464,25
1433,N35051,24
1434,N23008,24
1435,N41658,24
1436,N38201,24
1437,N10616,24
1438,N6651,24
1439,N12379,24
1440,N13604,24
1441,N8349,24
1442,N62208,24
1443,N38483,24
1444,N31035,24
1445,N55325,24
1446,N7466,24
1447,N32240,24
1448,N44453,24
1449,N6330,24
1450,N60256,24
1451,N46424,24
1452,N28319,24
1453,N9240,24
1454,N42285,24
1455,N4612,24
1456,N12831,24
1457,N58241,24
1458,N62563,24
1459,N57456,24
1460,N42860,24
1461,N25040,24
1462,N34159,24
1463,N44830,24
1464,N32923,24
1465,N14400,24
1466,N45673,24
1467,N2235,24
1468,N46966,24
1469,N51253,24
1470,N26319,24
1471,N47205,24
1472,N38512,24
1473,N31769,24
1474,N54595,23
1475,N20069,23
1476,N28327,23
1477,N57535,23
1478,N25049,23
1479,N26537,23
1480,N13729,23
1481,N13263,23
1482,N49610,23
1483,N17529,23
1484,N36779,23
1485,N56636,23
1486,N64858,23
1487,N53008,23
1488,N13403,23
1489,N47280,23
1490,N34382,23
1491,N51153,23
1492,N54634,23
1493,N33623,23
1494,N23590,23
1495,N11542,23
1496,N23556,23
1497,N34657,23
1498,N46057,23
1499,N21030,23
1500,N64243,23
1501,N9806,23
1502,N13471,23
1503,N39568,23
1504,N23824,23
1505,N46309,23
1506,N11856,23
1507,N53346,23
1508,N27486,23
1509,N41555,23
1510,N14305,23
1511,N12905,23
1512,N5043,23
1513,N15457,23
1514,N62805,23
1515,N1774,23
1516,N61549,22
1517,N64459,22
1518,N24865,22
1519,N55723,22
1520,N2350,22
1521,N23134,22
1522,N23513,22
1523,N29133,22
1524,N38808,22
1525,N63415,22
1526,N3304,22
1527,N33710,22
1528,N57853,22
1529,N10969,22
1530,N62599,22
1531,N61572,22
1532,N823,22
1533,N22145,22
1534,N27966,22
1535,N36408,22
1536,N17821,22
1537,N44145,22
1538,N42602,22
1539,N53044,22
1540,N62227,22
1541,N35112,22
1542,N27601,22
1543,N24985,22
1544,N41258,22
1545,N59495,22
1546,N59214,22
1547,N4481,22
1548,N39109,22
1549,N34848,22
1550,N43648,22
1551,N25785,22
1552,N1080,22
1553,N26601,22
1554,N54315,21
1555,N62933,21
1556,N555,21
1557,N44528,21
1558,N32759,21
1559,N37022,21
1560,N55936,21
1561,N49955,21
1562,N21509,21
1563,N53875,21
1564,N16589,21
1565,N32829,21
1566,N36251,21
1567,N2562,21
1568,N32030,21
1569,N48887,21
1570,N25406,21
1571,N58656,21
1572,N53599,21
1573,N53436,21
1574,N21216,21
1575,N34915,21
1576,N48606,21
1577,N61536,21
1578,N42143,21
1579,N47520,21
1580,N49252,21
1581,N20394,21
1582,N61754,21
1583,N60539,21
1584,N64228,21
1585,N31630,21
1586,N24457,21
1587,N63683,21
1588,N2886,20
1589,N32437,20
1590,N28091,20
1591,N20036,20
1592,N2622,20
1593,N43373,20
1594,N3474,20
1595,N15812,20
1596,N19075,20
1597,N56104,20
1598,N59761,20
1599,N1062,20
1600,N23025,20
1601,N50288,20
1602,N39931,20
1603,N20603,20
1604,N33689,20
1605,N8170,20
1606,N61074,20
1607,N27318,20
1608,N51182,20
1609,N20413,20
1610,N33883,20
1611,N39269,20
1612,N10552,20
1613,N28480,20
1614,N37458,20
1615,N17355,20
1616,N6787,20
1617,N31183,20
1618,N38080,20
1619,N10674,20
1620,N41432,20
1621,N12330,20
1622,N26043,20
1623,N64037,20
1624,N3392,20
1625,N58086,20
1626,N37908,20
1627,N52474,20
1628,N17342,20
1629,N25811,20
1630,N42966,20
1631,N58295,20
1632,N16833,20
1633,N17913,20
1634,N54442,20
1635,N34486,20
1636,N21119,19
1637,N36232,19
1638,N35294,19
1639,N50007,19
1640,N14674,19
1641,N65088,19
1642,N36516,19
1643,N10642,19
1644,N60456,19
1645,N14056,19
1646,N13105,19
1647,N27525,19
1648,N35958,19
1649,N5135,19
1650,N32789,19
1651,N43289,19
1652,N56299,19
1653,N61363,19
1654,N49375,19
1655,N28888,19
1656,N8929,19
1657,N32891,19
1658,N63478,19
1659,N39786,19
1660,N23593,19
1661,N16790,19
1662,N49354,19
1663,N50011,19
1664,N22442,19
